id,description,image_path
0,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen",images/image_0.png
71,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, foyer, sit out",images/image_71.png
75,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_75.png
77,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, balcony, kitchen",images/image_77.png
79,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 3 | features : living room, dining, kitchen, balcony",images/image_79.png
83,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, terrace",images/image_83.png
90,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, balcony, kitchen",images/image_90.png
92,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, terrace, kitchen",images/image_92.png
97,"bedrooms : 3 | toilet : 3 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen",images/image_97.png
102,"bedrooms : 3 | toilet : 4 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, lobby",images/image_102.png
103,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen",images/image_103.png
110,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, foyer, work area",images/image_110.png
112,"bedrooms : 3 | toilet : 5 | attached _ toilet : 3 | dress _ room : 3 | features : living room, gymnasium, home theatre, kitchen, balcony",images/image_112.png
120,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed, kitchen, utility",images/image_120.png
122,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, sit out",images/image_122.png
139,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, foyer, sit out",images/image_139.png
145,"bedrooms : 4 | toilet : 4 | attached _ toilet : 4 | dress _ room : 0 | features : living room, store, kitchen, balcony",images/image_145.png
148,"bedrooms : 2 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen, lawn",images/image_148.png
149,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen, flower bed",images/image_149.png
152,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen",images/image_152.png
154,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 1 | features : living room, dining, kitchen, balcony",images/image_154.png
157,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_157.png
160,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen,",images/image_160.png
162,"bedrooms : 3 | toilet : 3 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, study room",images/image_162.png
169,"bedrooms : 3 | toilet : 4 | attached _ toilet : 3 | dress _ room : 1 | features : living room, dining, kitchen, pooja room",images/image_169.png
175,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen",images/image_175.png
189,"bedrooms : 3 | toilet : 3 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, lobby",images/image_189.png
191,"bedrooms : 3 | toilet : 4 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, pooja room",images/image_191.png
194,"bedrooms : 3 | toilet : 3 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, foyer, sit out",images/image_194.png
196,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, lobby",images/image_196.png
198,"bedrooms : 3 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_198.png
200,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed, kitchen",images/image_200.png
202,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, pooja room, sit out",images/image_202.png
206,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed, kitchen, flower bed",images/image_206.png
216,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : drawing room, dining, kitchen, balcony",images/image_216.png
218,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, balcony",images/image_218.png
219,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, terrace",images/image_219.png
220,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed, kitchen",images/image_220.png
222,"bedrooms : 3 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, sit out",images/image_222.png
225,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed kitchen, balcony",images/image_225.png
229,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed kitchen, utility",images/image_229.png
244,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed kitchen",images/image_244.png
246,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen, flower bed",images/image_246.png
249,"bedrooms : 3 | toilet : 4 | attached _ toilet : 3 | dress _ room : 1 | features : living room, dining, kitchen, balcony",images/image_249.png
266,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : drawing room, dining, kitchen, pooja room",images/image_266.png
268,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : drawing room, dining, kitchen, study room",images/image_268.png
270,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, terrace, kitchen",images/image_270.png
271,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, deck",images/image_271.png
272,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen",images/image_272.png
276,"bedrooms : 3 | toilet : 4 | attached _ toilet : 4 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_276.png
280,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, family lounge",images/image_280.png
291,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, pool, kitchen, deck",images/image_291.png
293,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, terrace",images/image_293.png
303,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen",images/image_303.png
305,"bedrooms : 2 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_305.png
307,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, parking",images/image_307.png
315,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed, kitchen",images/image_315.png
316,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, flower bed",images/image_316.png
320,"bedrooms : 3 | toilet : 4 | attached _ toilet : 4 | dress _ room : 1 | features : living room, dining, kitchen, lobby, wardrobe",images/image_320.png
322,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, pooja room",images/image_322.png
323,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, balcony, kitchen",images/image_323.png
331,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen",images/image_331.png
334,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, balcony, kitchen",images/image_334.png
336,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, flower bed",images/image_336.png
340,"bedrooms : 3 | toilet : 4 | attached _ toilet : 4 | dress _ room : 2 | features : living room, dining, kitchen, family lounge, servant room",images/image_340.png
342,"bedrooms : 3 | toilet : 4 | attached _ toilet : 3 | dress _ room : 0 | features : living room, dining, kitchen, balcony, lawn",images/image_342.png
346,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed kitchen, flower bed",images/image_346.png
362,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen, wash",images/image_362.png
371,"bedrooms : 3 | toilet : 4 | attached _ toilet : 3 | dress _ room : 1 | features : living room, dining, kitchen, pooja room, home theatre, store room",images/image_371.png
390,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, terrace, flower bed",images/image_390.png
399,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_399.png
404,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, niche",images/image_404.png
406,"bedrooms : 3 | toilet : 4 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, main entry, staff room",images/image_406.png
407,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, utility, kitchen, utility",images/image_407.png
410,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen, flower bed",images/image_410.png
411,"bedrooms : 2 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : lawn, home theatre, terrace",images/image_411.png
419,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen, flower bed",images/image_419.png
438,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen, utility",images/image_438.png
456,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, pooja room",images/image_456.png
458,"bedrooms : 3 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, lobby",images/image_458.png
460,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, foyer, store room",images/image_460.png
472,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : hall, dining, kitchen",images/image_472.png
474,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony, flower bed",images/image_474.png
477,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, foyer, niche",images/image_477.png
491,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, study room",images/image_491.png
518,"bedrooms : 3 | toilet : 4 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, family lounge, servant room",images/image_518.png
519,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 4 | features : living room, lounge, kitchen, balcony",images/image_519.png
525,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen",images/image_525.png
556,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen, balcony",images/image_556.png
557,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, utility",images/image_557.png
564,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : hall, balcony, kitchen",images/image_564.png
566,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, kitchen, balcony",images/image_566.png
589,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen, balcony",images/image_589.png
602,"bedrooms : 3 | toilet : 4 | attached _ toilet : 4 | dress _ room : 0 | features : living room, dining, kitchen, balcony, lawn",images/image_602.png
630,"bedrooms : 3 | toilet : 3 | attached _ toilet : 3 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_630.png
637,"bedrooms : 2 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : lawn, home theatre, terrace",images/image_637.png
638,"bedrooms : 3 | toilet : 3 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, lawn",images/image_638.png
640,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_640.png
650,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, lobby",images/image_650.png
655,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed, kitchen",images/image_655.png
661,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen, wash, store room",images/image_661.png
664,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, parking",images/image_664.png
677,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 3 | features : drawing room, lounge, kitchen, balcony",images/image_677.png
694,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed, kitchen, utility",images/image_694.png
699,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, utility",images/image_699.png
720,"bedrooms : 3 | toilet : 5 | attached _ toilet : 2 | dress _ room : 0 | features : living room, lobby, kitchen, balcony",images/image_720.png
724,"bedrooms : 4 | toilet : 4 | attached _ toilet : 1 | dress _ room : 1 | features : living room, dining, kitchen, parking",images/image_724.png
739,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen, utility",images/image_739.png
740,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed, kitchen, flower bed",images/image_740.png
741,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen, balcony",images/image_741.png
742,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen, utility",images/image_742.png
773,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, kitchen, utility",images/image_773.png
776,"bedrooms : 2 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen",images/image_776.png
780,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 4 | features : living room, dining, kitchen, balcony",images/image_780.png
803,"bedrooms : 3 | toilet : 3 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_803.png
807,"bedrooms : 2 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen",images/image_807.png
812,"bedrooms : 3 | toilet : 4 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, balcony, lawn",images/image_812.png
842,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : drawing room, dining, kitchen",images/image_842.png
848,"bedrooms : 3 | toilet : 4 | attached _ toilet : 3 | dress _ room : 0 | features : living room, dining, kitchen, pooja room",images/image_848.png
856,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, lobby, study room",images/image_856.png
866,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, parking",images/image_866.png
872,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, foyer, study room",images/image_872.png
881,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_881.png
885,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, foyer, balcony",images/image_885.png
897,"bedrooms : 3 | toilet : 5 | attached _ toilet : 3 | dress _ room : 1 | features : living room, dining, kitchen, balcony",images/image_897.png
909,"bedrooms : 2 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen",images/image_909.png
915,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, utility, kitchen",images/image_915.png
919,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 0 | features : living room, lounge, kitchen, balcony",images/image_919.png
926,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, lawn",images/image_926.png
932,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, foyer",images/image_932.png
939,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, terrace, kitchen",images/image_939.png
945,"bedrooms : 2 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed kitchen",images/image_945.png
974,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 4 | features : living room, kitchen, balcony",images/image_974.png
1032,"bedrooms : 3 | toilet : 4 | attached _ toilet : 3 | dress _ room : 1 | features : living room, dining, kitchen, servant room",images/image_1032.png
1047,"bedrooms : 3 | toilet : 3 | attached _ toilet : 3 | dress _ room : 0 | features : living room, dining, kitchen, lobby",images/image_1047.png
1048,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, sit out",images/image_1048.png
1070,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, utility, kitchen, balcony",images/image_1070.png
1083,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 1 | features : living room, dining, kitchen, pooja room",images/image_1083.png
1112,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, store room",images/image_1112.png
1144,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, lobby, foyer",images/image_1144.png
1163,"bedrooms : 2 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen",images/image_1163.png
1175,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 1 | features : living room, dining, kitchen, lawn",images/image_1175.png
1196,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen, balcony",images/image_1196.png
1207,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, main entry, staff room",images/image_1207.png
1211,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, lobby, lawn",images/image_1211.png
1213,"bedrooms : 3 | toilet : 3 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, terrace",images/image_1213.png
1216,"bedrooms : 4 | toilet : 4 | attached _ toilet : 3 | dress _ room : 0 | features : living room, dining, kitchen, balcony, lawn",images/image_1216.png
1232,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, lobby, puja room, foyer",images/image_1232.png
1242,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : lawn, home theatre, terrace",images/image_1242.png
1245,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen",images/image_1245.png
1248,"bedrooms : 3 | toilet : 4 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, servant room",images/image_1248.png
1253,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, verandah",images/image_1253.png
1265,"bedrooms : 3 | toilet : 4 | attached _ toilet : 2 | dress _ room : 1 | features : living room, dining, kitchen, pooja room",images/image_1265.png
1286,"bedrooms : 3 | toilet : 3 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, foyer",images/image_1286.png
1287,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed kitchen, flower bed",images/image_1287.png
1302,"bedrooms : 3 | toilet : 4 | attached _ toilet : 3 | dress _ room : 0 | features : living room, dining, kitchen, balcony, lift",images/image_1302.png
1306,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed, kitchen, flower bed",images/image_1306.png
1314,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, wash, store room",images/image_1314.png
1318,"bedrooms : 4 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony",images/image_1318.png
1332,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, wash",images/image_1332.png
1335,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, foyer",images/image_1335.png
